what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503224931
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503225091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503225311
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503225311
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503230874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503233513
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503239194
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698503252035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503301453
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503307612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503307902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503312324
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503315408
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503315668
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503321410
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698503329284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503336334
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503338851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503339144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503343446
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503347008
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503347238
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503352925
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698503363669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698503366635
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698503371814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503372114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698503376609
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503379560
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698503379840
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698503385541
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698504241881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698504569916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698504648366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1698504777744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698504780266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698504792089
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698504796409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698504796699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698504800645
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698504807133
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698504807383
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698504812466
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698504826954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698504838936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505096476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698505122019
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698505124860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505125160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505129345
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505133526
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698505133727
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001090, /cygdrive/c/altera/13.0sp1/digital_clk/software/montre/montre.elf] return code: 4, 'other error'",1698505138855
error,log,,,"Downloading ELF Process failed",1698505138855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505138895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505149778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505154263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505156323
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1698505156329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505156633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505157483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505157779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505159769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505168389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505172050
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698505186351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505191595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505198890
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505201124
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698505201359
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001090, /cygdrive/c/altera/13.0sp1/digital_clk/software/montre/montre.elf] return code: 4, 'other error'",1698505206661
error,log,,,"Downloading ELF Process failed",1698505206664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505206689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505212629
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698505213249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505215213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505223638
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505227628
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698505227886
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505232999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505247092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505317327
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698505321497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505347392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505348149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505512168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505556753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698505615192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698505631883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698505635205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698505647414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698505659912
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698505661878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505662168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505666336
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505670463
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698505670683
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698505675897
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698505739698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505818352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505837567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698505841086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698505856177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698505860034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698505887827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698505894377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698505995009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506057848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506117142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506119647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1698506119667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506123091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506128927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506147057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506155251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506157760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506164117
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1698506183857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506200958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506203347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506209287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506305868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506308307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506339187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506342633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506343948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506346487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506503492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506506948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506555893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506570763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506578014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506581447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506585060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506596697
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698506599972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506600267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506603038
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506649512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506650492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1698506650512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506654386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1698506655853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506657639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506659103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506661387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506661507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506662951
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698506665640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506665915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506673904
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506680570
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698506680830
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506686093
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506708903
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506740267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506741853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1698506741883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506747244
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506749577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506750944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506751074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506764807
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698506767603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506767893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506770737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506775125
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698506780973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506781257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506789257
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506792950
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698506793834
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506798346
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698506817700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1698506874781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1698506878851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698506890547
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1698506899017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506899317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1698506903416
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506906609
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1698506906879
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1698506912167
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1698507036587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1698507357637
